26/10/2018 - 17:46:25 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.2833, paramA=27.5858, paramVg=0.0, paramVt=1.5062, paramVi=1.5044, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:25 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 23
26/10/2018 - 17:46:25 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.35, paramA=27.5858, paramVg=0.0, paramVt=1.4871, paramVi=1.4857, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:26 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 23
26/10/2018 - 17:46:26 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.3917, paramA=27.5858, paramVg=0.0, paramVt=1.4774, paramVi=1.4761, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:26 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 24
26/10/2018 - 17:46:26 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.4583, paramA=27.5858, paramVg=0.0, paramVt=1.4551, paramVi=1.4539, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:27 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 24
26/10/2018 - 17:46:27 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=7.5, paramA=27.5858, paramVg=0.0, paramVt=1.4451, paramVi=1.444, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.937}
26/10/2018 - 17:46:27 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 25
